Quan_huyen,Loai_hinh,Dien_tich,Tong_so_tang,Tang_phong,Thang_may,Noi_that,Ban_cong_Cua_so,Khu_bep,Ve_sinh,May_giat,Vi_tri_ngo,Cho_nuoi_pet,Gia_dien,Khoang_cach_TT,Gia_phong
Nam Từ Liêm,Trọ thường,23,3,2,Không,Đồ cũ/Thiếu đồ,Ban công rộng thoáng,Kệ bếp trong phòng,Khép kín (Có vách kính tắm),Máy giặt chung (Sân thượng),Ba gác tránh/Ngõ nông,Cho nuôi Pet,Giá dân,5597,5830849
Ba Đình,Căn hộ dịch vụ (Studio),27,3,2,Không,Đồ cũ/Thiếu đồ,Ban công rộng thoáng,Nấu ăn chung khu (Tầng 1),Khép kín (Có vách kính tắm),Không có máy giặt,Ba gác tránh/Ngõ nông,Cho nuôi Pet,Giá dân,4814,10544634
Cầu Giấy,Homestay (Sleepbox),8,6,6,Có,Nhà trống,Không cửa sổ (Phòng hộp),Nấu ăn chung khu (Tầng 1),Khép kín (Cơ bản),Máy giặt riêng trong phòng,Mặt phố/Oto đỗ cửa,Cấm nuôi Pet,Giá dân,2568,1314493
Tây Hồ,Homestay (Sleepbox),6,7,5,Có,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Không cửa sổ (Phòng hộp),Nấu ăn chung khu (Tầng 1),Vệ sinh chung (Chung tầng),Máy giặt riêng trong phòng,Ngõ ngách sâu/Hẻm nhỏ,Cho nuôi Pet,Giá dân,2606,1089999
Hà Đông,Trọ thường,23,5,2,Không,Nhà trống,Ban công rộng thoáng,Bếp tách biệt (Ngăn mùi),Vệ sinh chung (Chung tầng),Không có máy giặt,Xe máy tránh nhau,Cho nuôi Pet,4000,2666,3077902
Đống Đa,1N1K (1 Khách 1 Ngủ),52,5,3,Không,Nhà trống,Ban công rộng thoáng,Kệ bếp trong phòng,Khép kín (Cơ bản),Máy giặt riêng trong phòng,Xe máy tránh nhau,Cấm nuôi Pet,3500,11480,15097333
Hoàn Kiếm,Homestay (Sleepbox),10,6,2,Không,"Full đồ Luxury (Smart TV, Sofa...)",Không cửa sổ (Phòng hộp),Bếp tách biệt (Ngăn mùi),Vệ sinh chung (Chung tầng),Máy giặt chung (Sân thượng),Ba gác tránh/Ngõ nông,Cấm nuôi Pet,4000,3759,1857459
Hà Đông,Homestay (Sleepbox),7,6,6,Có,Nhà trống,Cửa sổ kính lớn (Big Window),Nấu ăn chung khu (Tầng 1),Khép kín (Cơ bản),Không có máy giặt,Mặt phố/Oto đỗ cửa,Cho nuôi Pet,4000,3772,1018153
Nam Từ Liêm,Căn hộ dịch vụ (Studio),40,4,1,Không,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Cửa sổ kính lớn (Big Window),Bếp tách biệt (Ngăn mùi),Vệ sinh chung (Chung tầng),Máy giặt riêng trong phòng,Ngõ ngách sâu/Hẻm nhỏ,Cấm nuôi Pet,3500,10022,10601764
Hà Đông,1N1K (1 Khách 1 Ngủ),42,3,3,Không,Đồ cũ/Thiếu đồ,Ban công rộng thoáng,Kệ bếp trong phòng,Vệ sinh chung (Chung tầng),Máy giặt chung (Sân thượng),Mặt phố/Oto đỗ cửa,Cho nuôi Pet,4000,4955,8837237
Hoàn Kiếm,Homestay (Sleepbox),10,7,3,Có,"Full đồ Luxury (Smart TV, Sofa...)",Ban công rộng thoáng,Kệ bếp trong phòng,Khép kín (Có vách kính tắm),Máy giặt chung (Sân thượng),Mặt phố/Oto đỗ cửa,Cho nuôi Pet,4000,10098,4199846
Bắc Từ Liêm,Chung cư mini,34,7,2,Có,Đồ cũ/Thiếu đồ,Ban công rộng thoáng,Kệ bếp trong phòng,Khép kín (Cơ bản),Máy giặt riêng trong phòng,Ngõ ngách sâu/Hẻm nhỏ,Cấm nuôi Pet,3500,7884,6798343
Hoàng Mai,1N1K (1 Khách 1 Ngủ),60,4,3,Không,Nhà trống,Ban công rộng thoáng,Nấu ăn chung khu (Tầng 1),Khép kín (Có vách kính tắm),Máy giặt chung (Sân thượng),Mặt phố/Oto đỗ cửa,Cấm nuôi Pet,Giá dân,6567,13333740
Tây Hồ,Trọ thường,27,3,1,Không,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Không cửa sổ (Phòng hộp),Nấu ăn chung khu (Tầng 1),Khép kín (Cơ bản),Máy giặt riêng trong phòng,Ngõ ngách sâu/Hẻm nhỏ,Cấm nuôi Pet,Giá dân,2691,5231673
Gia Lâm,1N1K (1 Khách 1 Ngủ),38,4,3,Không,Đồ cũ/Thiếu đồ,Cửa sổ kính lớn (Big Window),Nấu ăn chung khu (Tầng 1),Khép kín (Cơ bản),Máy giặt chung (Sân thượng),Ba gác tránh/Ngõ nông,Cho nuôi Pet,3500,9883,6428626
Gia Lâm,Trọ thường,32,5,3,Không,Đồ cũ/Thiếu đồ,Ban công rộng thoáng,Nấu ăn chung khu (Tầng 1),Vệ sinh chung (Chung tầng),Máy giặt riêng trong phòng,Ba gác tránh/Ngõ nông,Cho nuôi Pet,Giá dân,4501,3872445
Long Biên,Homestay (Sleepbox),6,7,2,Có,Nhà trống,Không cửa sổ (Phòng hộp),Nấu ăn chung khu (Tầng 1),Khép kín (Cơ bản),Không có máy giặt,Xe máy tránh nhau,Cấm nuôi Pet,3800,6154,1000000
Đống Đa,Chung cư mini,28,5,3,Không,"Full đồ Luxury (Smart TV, Sofa...)",Không cửa sổ (Phòng hộp),Nấu ăn chung khu (Tầng 1),Khép kín (Có vách kính tắm),Không có máy giặt,Xe máy tránh nhau,Cấm nuôi Pet,3500,2047,8140990
Gia Lâm,Căn hộ dịch vụ (Studio),31,5,5,Không,Nhà trống,Cửa sổ giếng trời (Nhìn tường),Kệ bếp trong phòng,Khép kín (Có vách kính tắm),Máy giặt chung (Sân thượng),Ba gác tránh/Ngõ nông,Cho nuôi Pet,Giá dân,6676,4327819
Nam Từ Liêm,Căn hộ dịch vụ (Studio),26,6,4,Có,Nhà trống,Ban công rộng thoáng,Bếp tách biệt (Ngăn mùi),Khép kín (Có vách kính tắm),Máy giặt chung (Sân thượng),Ngõ ngách sâu/Hẻm nhỏ,Cấm nuôi Pet,4000,6833,8223859
Đống Đa,Trọ thường,18,4,2,Không,Nhà trống,Ban công rộng thoáng,Nấu ăn chung khu (Tầng 1),Vệ sinh chung (Chung tầng),Không có máy giặt,Mặt phố/Oto đỗ cửa,Cho nuôi Pet,3500,1025,4343705
Hoàng Mai,Chung cư mini,35,6,3,Có,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Không cửa sổ (Phòng hộp),Nấu ăn chung khu (Tầng 1),Vệ sinh chung (Chung tầng),Máy giặt riêng trong phòng,Xe máy tránh nhau,Cho nuôi Pet,Giá dân,4991,4760915
Bắc Từ Liêm,Homestay (Sleepbox),8,3,3,Không,Nhà trống,Cửa sổ kính lớn (Big Window),Bếp tách biệt (Ngăn mùi),Vệ sinh chung (Chung tầng),Không có máy giặt,Xe máy tránh nhau,Cho nuôi Pet,3800,7060,1000000
Long Biên,Căn hộ dịch vụ (Studio),35,9,5,Có,Nhà trống,Cửa sổ kính lớn (Big Window),Bếp tách biệt (Ngăn mùi),Khép kín (Cơ bản),Máy giặt riêng trong phòng,Ngõ ngách sâu/Hẻm nhỏ,Cho nuôi Pet,3500,7297,7591520
Hà Đông,Chung cư mini,30,3,1,Không,"Full đồ Luxury (Smart TV, Sofa...)",Ban công rộng thoáng,Nấu ăn chung khu (Tầng 1),Khép kín (Cơ bản),Máy giặt chung (Sân thượng),Xe máy tránh nhau,Cấm nuôi Pet,Giá dân,4531,8741384
Hoàn Kiếm,Homestay (Sleepbox),7,8,8,Không,Đồ cũ/Thiếu đồ,Không cửa sổ (Phòng hộp),Bếp tách biệt (Ngăn mùi),Vệ sinh chung (Chung tầng),Máy giặt chung (Sân thượng),Ngõ ngách sâu/Hẻm nhỏ,Cấm nuôi Pet,4000,3712,1000000
Tây Hồ,Trọ thường,20,4,3,Không,Đồ cũ/Thiếu đồ,Ban công rộng thoáng,Bếp tách biệt (Ngăn mùi),Khép kín (Cơ bản),Không có máy giặt,Xe máy tránh nhau,Cấm nuôi Pet,4000,3239,6446842
Ba Đình,Chung cư mini,31,5,5,Không,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Cửa sổ giếng trời (Nhìn tường),Kệ bếp trong phòng,Vệ sinh chung (Chung tầng),Máy giặt riêng trong phòng,Xe máy tránh nhau,Cấm nuôi Pet,3800,9058,6658991
Hoàn Kiếm,1N1K (1 Khách 1 Ngủ),51,3,1,Không,Đồ cũ/Thiếu đồ,Ban công rộng thoáng,Nấu ăn chung khu (Tầng 1),Vệ sinh chung (Chung tầng),Không có máy giặt,Mặt phố/Oto đỗ cửa,Cấm nuôi Pet,3500,6787,15379811
Bắc Từ Liêm,Chung cư mini,21,6,4,Không,"Full đồ Luxury (Smart TV, Sofa...)",Cửa sổ kính lớn (Big Window),Nấu ăn chung khu (Tầng 1),Vệ sinh chung (Chung tầng),Máy giặt chung (Sân thượng),Ba gác tránh/Ngõ nông,Cấm nuôi Pet,Giá dân,5694,4427781
Đống Đa,Căn hộ dịch vụ (Studio),28,4,2,Không,"Full đồ Luxury (Smart TV, Sofa...)",Ban công rộng thoáng,Bếp tách biệt (Ngăn mùi),Vệ sinh chung (Chung tầng),Không có máy giặt,Mặt phố/Oto đỗ cửa,Cấm nuôi Pet,3500,5933,15763577
Cầu Giấy,Trọ thường,25,8,3,Có,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Cửa sổ giếng trời (Nhìn tường),Kệ bếp trong phòng,Khép kín (Có vách kính tắm),Không có máy giặt,Ba gác tránh/Ngõ nông,Cấm nuôi Pet,3800,7957,5869130
